iter,train_mse
0,1.60056e+08
1,1.48346e+08
2,1.38512e+08
3,1.30122e+08
4,1.22852e+08
5,1.1646e+08
6,1.1076e+08
7,1.05615e+08
8,1.0092e+08
9,9.65944e+07
10,9.25774e+07
11,8.88222e+07
12,8.52924e+07
13,8.19597e+07
14,7.88019e+07
15,7.5801e+07
16,7.2943e+07
17,7.02159e+07
18,6.76101e+07
19,6.51174e+07
20,6.27308e+07
21,6.04442e+07
22,5.82521e+07
23,5.61498e+07
24,5.41329e+07
25,5.21973e+07
26,5.03395e+07
27,4.85561e+07
28,4.68437e+07
29,4.51994e+07
30,4.36204e+07
31,4.21039e+07
32,4.06474e+07
33,3.92484e+07
34,3.79047e+07
35,3.6614e+07
36,3.53741e+07
37,3.41831e+07
38,3.30389e+07
39,3.19398e+07
40,3.08838e+07
41,2.98694e+07
42,2.88948e+07
43,2.79585e+07
44,2.70589e+07
45,2.61946e+07
46,2.53642e+07
47,2.45663e+07
48,2.37997e+07
49,2.30631e+07
50,2.23554e+07
51,2.16753e+07
52,2.10218e+07
53,2.03939e+07
54,1.97905e+07
55,1.92107e+07
56,1.86535e+07
57,1.8118e+07
58,1.76034e+07
59,1.71089e+07
60,1.66336e+07
61,1.61768e+07
62,1.57378e+07
63,1.53159e+07
64,1.49103e+07
65,1.45205e+07
66,1.41459e+07
67,1.37857e+07
68,1.34395e+07
69,1.31068e+07
70,1.27869e+07
71,1.24794e+07
72,1.21838e+07
73,1.18995e+07
74,1.16263e+07
75,1.13636e+07
76,1.1111e+07
77,1.08682e+07
78,1.06346e+07
79,1.04101e+07
80,1.01942e+07
81,9.98654e+06
82,9.78687e+06
83,9.59483e+06
84,9.41015e+06
85,9.23252e+06
86,9.06167e+06
87,8.89734e+06
88,8.73926e+06
89,8.5872e+06
90,8.44092e+06
91,8.30019e+06
92,8.1648e+06
93,8.03453e+06
94,7.90919e+06
95,7.78858e+06
96,7.67251e+06
97,7.56082e+06
98,7.45333e+06
99,7.34988e+06
100,7.2503e+06
101,7.15445e+06
102,7.06218e+06
103,6.97336e+06
104,6.88784e+06
105,6.8055e+06
106,6.72622e+06
107,6.64987e+06
108,6.57635e+06
109,6.50554e+06
110,6.43734e+06
111,6.37165e+06
112,6.30836e+06
113,6.24739e+06
