iter,train_mse
0,32.457
1,31.1821
2,29.9581
3,28.7831
4,27.655
5,26.572
6,25.5323
7,24.534
8,23.5756
9,22.6555
10,21.772
11,20.9238
12,20.1093
13,19.3274
14,18.5765
15,17.8556
16,17.1634
17,16.4988
18,15.8606
19,15.2478
20,14.6593
21,14.0943
22,13.5518
23,13.0308
24,12.5306
25,12.0502
26,11.5889
27,11.146
28,10.7206
29,10.3122
30,9.91998
31,9.54335
32,9.18167
33,8.83436
34,8.50084
35,8.18056
36,7.87299
37,7.57764
38,7.29401
39,7.02163
40,6.76007
41,6.50888
42,6.26766
43,6.03602
44,5.81356
45,5.59993
46,5.39477
47,5.19775
48,5.00855
49,4.82684
50,4.65235
51,4.48477
52,4.32384
53,4.16929
54,4.02087
55,3.87833
56,3.74144
57,3.60998
58,3.48373
59,3.36249
60,3.24605
61,3.13422
62,3.02683
63,2.92369
64,2.82464
65,2.72952
66,2.63816
67,2.55043
68,2.46617
69,2.38525
70,2.30753
71,2.2329
72,2.16122
73,2.09238
74,2.02627
75,1.96277
76,1.90179
77,1.84323
78,1.78698
79,1.73297
80,1.68109
81,1.63127
82,1.58342
83,1.53746
84,1.49333
85,1.45094
86,1.41023
87,1.37113
88,1.33358
89,1.29752
90,1.26288
91,1.22962
92,1.19767
93,1.16699
94,1.13752
95,1.10922
96,1.08204
97,1.05593
98,1.03086
99,1.00678
100,0.983652
101,0.96144
102,0.940107
103,0.919618
104,0.89994
105,0.88104
106,0.862888
107,0.845455
108,0.828711
109,0.812629
110,0.797184
111,0.782349
112,0.768102
113,0.754418
114,0.741275
115,0.728652
116,0.716528
117,0.704883
118,0.693699
119,0.682958
120,0.672641
121,0.662731
122,0.653214
123,0.644073
124,0.635293
125,0.626861
126,0.618761
127,0.610982
128,0.60351
129,0.596333
130,0.58944
131,0.58282
132,0.576461
133,0.570353
134,0.564486
135,0.558852
136,0.553439
137,0.548241
138,0.543248
139,0.538452
140,0.533845
141,0.52942
142,0.52517
143,0.521088
144,0.517167
145,0.5134
146,0.509782
147,0.506307
148,0.502969
149,0.499763
150,0.496683
151,0.493725
152,0.490883
153,0.488154
154,0.485532
155,0.483013
156,0.480594
157,0.47827
158,0.476037
159,0.473893
160,0.471833
161,0.469854
162,0.467953
163,0.466127
164,0.464373
165,0.462688
166,0.461069
167,0.459514
168,0.45802
169,0.456585
170,0.455206
171,0.453882
172,0.452609
173,0.451387
174,0.450212
175,0.449084
176,0.448
177,0.446959
178,0.445958
179,0.444997
180,0.444074
181,0.443186
182,0.442334
183,0.441515
184,0.440728
185,0.439971
186,0.439245
187,0.438547
188,0.437876
189,0.437232
190,0.436612
191,0.436017
192,0.435445
193,0.434896
194,0.434368
195,0.43386
196,0.433373
197,0.432904
198,0.432454
199,0.432021
200,0.431605
201,0.431206
202,0.430821
203,0.430452
204,0.430097
205,0.429756
206,0.429428
207,0.429113
208,0.42881
209,0.428519
210,0.428239
211,0.42797
212,0.427712
213,0.427463
214,0.427224
215,0.426994
216,0.426774
217,0.426561
218,0.426357
219,0.426161
220,0.425972
221,0.42579
222,0.425616
223,0.425448
224,0.425286
225,0.425131
226,0.424982
227,0.424838
228,0.4247
229,0.424567
230,0.424439
231,0.424316
232,0.424198
233,0.424084
234,0.423975
235,0.42387
236,0.423768
237,0.423671
238,0.423577
239,0.423487
240,0.4234
241,0.423316
242,0.423235
243,0.423158
244,0.423083
245,0.423012
246,0.422942
247,0.422876
248,0.422812
249,0.42275
250,0.422691
251,0.422633
252,0.422578
253,0.422525
254,0.422474
255,0.422424
256,0.422377
257,0.422331
258,0.422287
259,0.422245
260,0.422204
261,0.422164
262,0.422126
263,0.422089
264,0.422054
265,0.42202
266,0.421987
267,0.421955
268,0.421924
269,0.421895
270,0.421866
271,0.421839
272,0.421812
