iter,train_mse
0,35.3452
1,33.9633
2,32.6369
3,31.3636
4,30.1413
5,28.968
6,27.8415
7,26.76
8,25.7217
9,24.7248
10,23.7677
11,22.8486
12,21.9662
13,21.1188
14,20.3052
15,19.5239
16,18.7736
17,18.0532
18,17.3613
19,16.6969
20,16.0589
21,15.4462
22,14.8578
23,14.2928
24,13.7501
25,13.229
26,12.7285
27,12.2479
28,11.7863
29,11.343
30,10.9172
31,10.5083
32,10.1156
33,9.7385
34,9.37629
35,9.02843
36,8.69434
37,8.37348
38,8.06531
39,7.76935
40,7.4851
41,7.2121
42,6.9499
43,6.69808
44,6.45622
45,6.22393
46,6.00084
47,5.78657
48,5.58077
49,5.38312
50,5.19329
51,5.01096
52,4.83585
53,4.66766
54,4.50612
55,4.35097
56,4.20196
57,4.05884
58,3.92138
59,3.78935
60,3.66255
61,3.54075
62,3.42377
63,3.31142
64,3.20351
65,3.09986
66,3.00031
67,2.90469
68,2.81285
69,2.72465
70,2.63992
71,2.55855
72,2.48039
73,2.40531
74,2.33321
75,2.26395
76,2.19743
77,2.13353
78,2.07216
79,2.01321
80,1.95659
81,1.90221
82,1.84997
83,1.7998
84,1.7516
85,1.70531
86,1.66085
87,1.61814
88,1.57712
89,1.53771
90,1.49986
91,1.46351
92,1.42858
93,1.39504
94,1.36282
95,1.33187
96,1.30214
97,1.27358
98,1.24615
99,1.2198
100,1.19448
101,1.17017
102,1.14681
103,1.12438
104,1.10283
105,1.08212
106,1.06224
107,1.04313
108,1.02478
109,1.00715
110,0.990218
111,0.97395
112,0.958322
113,0.943309
114,0.928887
115,0.915032
116,0.901722
117,0.888935
118,0.876651
119,0.86485
120,0.853513
121,0.842622
122,0.832158
123,0.822106
124,0.812448
125,0.803169
126,0.794255
127,0.785691
128,0.777463
129,0.769557
130,0.761962
131,0.754665
132,0.747653
133,0.740917
134,0.734444
135,0.728225
136,0.72225
137,0.716509
138,0.710992
139,0.705691
140,0.700598
141,0.695704
142,0.691001
143,0.686482
144,0.68214
145,0.677967
146,0.673957
147,0.670104
148,0.666401
149,0.662842
150,0.659423
151,0.656136
152,0.652978
153,0.649943
154,0.647025
155,0.644222
156,0.641527
157,0.638937
158,0.636448
159,0.634056
160,0.631756
161,0.629546
162,0.627421
163,0.625379
164,0.623416
165,0.621529
166,0.619715
167,0.617971
168,0.616295
169,0.614683
170,0.613134
171,0.611644
172,0.610212
173,0.608835
174,0.607511
175,0.606238
176,0.605014
177,0.603837
178,0.602705
179,0.601617
180,0.600571
181,0.599564
182,0.598596
183,0.597665
184,0.59677
185,0.595909
186,0.595081
187,0.594284
188,0.593518
189,0.59278
190,0.592071
191,0.591389
192,0.590733
193,0.590101
194,0.589494
195,0.588909
196,0.588346
197,0.587805
198,0.587284
199,0.586783
200,0.5863
201,0.585836
202,0.585389
203,0.584959
204,0.584544
205,0.584146
206,0.583762
207,0.583392
208,0.583036
209,0.582694
210,0.582364
211,0.582046
212,0.58174
213,0.581445
214,0.581161
215,0.580888
216,0.580624
217,0.58037
218,0.580126
219,0.57989
220,0.579663
221,0.579444
222,0.579233
223,0.57903
224,0.578834
225,0.578645
226,0.578463
227,0.578287
228,0.578118
229,0.577954
230,0.577797
231,0.577645
232,0.577498
233,0.577357
234,0.57722
235,0.577088
236,0.576961
237,0.576839
238,0.57672
239,0.576606
240,0.576495
241,0.576389
242,0.576286
243,0.576186
244,0.57609
245,0.575997
246,0.575908
247,0.575821
248,0.575737
249,0.575656
250,0.575578
251,0.575502
252,0.575429
253,0.575358
254,0.575289
255,0.575223
256,0.575159
257,0.575097
258,0.575037
259,0.574979
260,0.574922
261,0.574868
262,0.574815
263,0.574763
264,0.574714
265,0.574666
266,0.574619
267,0.574574
268,0.57453
269,0.574488
270,0.574446
271,0.574406
272,0.574367
273,0.57433
274,0.574293
275,0.574258
276,0.574223
277,0.57419
278,0.574157
279,0.574125
280,0.574095
281,0.574065
282,0.574035
283,0.574007
284,0.57398
285,0.573953
286,0.573927
287,0.573901
288,0.573877
289,0.573853
290,0.573829
291,0.573806
292,0.573784
293,0.573762
294,0.573741
295,0.57372
296,0.5737
297,0.573681
298,0.573661
299,0.573643
300,0.573624
301,0.573606
302,0.573589
303,0.573572
304,0.573555
305,0.573539
306,0.573523
307,0.573507
308,0.573492
309,0.573477
310,0.573463
311,0.573448
312,0.573434
313,0.573421
314,0.573407
315,0.573394
316,0.573381
317,0.573368
318,0.573356
319,0.573344
320,0.573332
321,0.57332
322,0.573308
323,0.573297
324,0.573286
325,0.573275
326,0.573264
327,0.573254
328,0.573244
329,0.573233
330,0.573223
331,0.573214
332,0.573204
333,0.573194
334,0.573185
335,0.573176
336,0.573167
337,0.573158
338,0.573149
339,0.57314
340,0.573132
341,0.573123
342,0.573115
343,0.573107
344,0.573099
345,0.573091
346,0.573083
347,0.573075
348,0.573068
349,0.57306
350,0.573053
351,0.573045
352,0.573038
353,0.573031
354,0.573024
355,0.573017
356,0.57301
357,0.573003
358,0.572996
359,0.572989
360,0.572983
361,0.572976
362,0.57297
363,0.572963
364,0.572957
365,0.572951
366,0.572945
367,0.572939
368,0.572933
369,0.572927
370,0.572921
371,0.572915
372,0.572909
373,0.572903
374,0.572897
375,0.572892
376,0.572886
377,0.57288
378,0.572875
379,0.57287
380,0.572864
381,0.572859
382,0.572853
383,0.572848
384,0.572843
385,0.572838
386,0.572833
387,0.572827
388,0.572822
389,0.572817
390,0.572812
391,0.572807
392,0.572802
393,0.572798
394,0.572793
395,0.572788
396,0.572783
397,0.572778
398,0.572774
399,0.572769
400,0.572764
401,0.57276
402,0.572755
403,0.57275
404,0.572746
405,0.572741
406,0.572737
407,0.572732
408,0.572728
409,0.572724
410,0.572719
411,0.572715
412,0.572711
413,0.572706
414,0.572702
415,0.572698
416,0.572694
417,0.572689
418,0.572685
419,0.572681
420,0.572677
421,0.572673
422,0.572669
423,0.572665
424,0.572661
425,0.572657
426,0.572653
427,0.572649
428,0.572645
429,0.572641
430,0.572637
431,0.572633
432,0.572629
433,0.572625
434,0.572621
435,0.572617
436,0.572614
437,0.57261
438,0.572606
439,0.572602
440,0.572599
441,0.572595
442,0.572591
443,0.572587
444,0.572584
445,0.57258
446,0.572576
447,0.572573
448,0.572569
449,0.572565
450,0.572562
451,0.572558
452,0.572555
453,0.572551
454,0.572547
455,0.572544
456,0.57254
457,0.572537
458,0.572533
459,0.57253
460,0.572526
461,0.572523
462,0.57252
463,0.572516
464,0.572513
465,0.572509
466,0.572506
467,0.572502
468,0.572499
469,0.572496
470,0.572492
471,0.572489
472,0.572486
473,0.572482
474,0.572479
475,0.572476
476,0.572472
477,0.572469
478,0.572466
479,0.572462
480,0.572459
481,0.572456
482,0.572453
483,0.572449
484,0.572446
485,0.572443
486,0.57244
487,0.572437
488,0.572433
489,0.57243
490,0.572427
491,0.572424
492,0.572421
